,N,F0,m,d_ms,d0,v0,prob,collision
0,3.0,-735.0,1787.0,1349.0,3.0,69.0,0.5,1.0
1,10.0,-1923.0,1733.0,822.0,2.0,131.0,0.5,1.0
3,4.0,-1393.0,1928.0,1120.0,4.0,138.0,0.5,0.0
5,9.0,-1798.0,1477.0,925.0,2.0,92.0,0.5,1.0
7,4.0,-250.0,1236.0,1119.0,4.0,154.0,0.5,1.0
9,11.0,-142.0,1987.0,1366.0,4.0,90.0,0.5,1.0
10,9.0,-1986.0,1392.0,1111.0,3.0,114.0,0.5,1.0
12,10.0,-1392.0,1945.0,846.0,4.0,73.0,0.5,0.0
13,4.0,-4590.0,1598.0,1182.0,2.0,143.0,0.5,1.0
14,6.0,-1667.0,1842.0,590.0,4.0,153.0,0.5,0.0
15,6.0,-2871.0,1298.0,939.0,4.0,95.0,0.5,0.0
18,3.0,-4746.0,1389.0,1156.0,3.0,134.0,0.5,0.0
21,4.0,-1543.0,1122.0,562.0,2.0,99.0,0.5,1.0
22,5.0,-2755.0,1674.0,894.0,3.0,113.0,0.5,0.0
24,9.0,-2066.0,1356.0,1322.0,2.0,76.0,0.5,1.0
25,11.0,-1684.0,1508.0,1429.0,2.0,158.0,0.5,1.0
26,7.0,-4351.0,1905.0,737.0,3.0,99.0,0.5,0.0
28,9.0,-4318.0,1061.0,798.0,5.0,133.0,0.5,0.0
32,3.0,-2527.0,1715.0,509.0,3.0,64.0,0.5,1.0
33,6.0,-3380.0,1514.0,933.0,5.0,66.0,0.5,0.0
34,11.0,-1194.0,1003.0,792.0,2.0,157.0,0.5,1.0
35,3.0,-3443.0,1057.0,1474.0,5.0,158.0,0.5,0.0
36,10.0,-1327.0,1335.0,1379.0,3.0,87.0,0.5,0.0
38,3.0,-2865.0,1088.0,1014.0,5.0,103.0,0.5,0.0
40,9.0,-2140.0,1470.0,554.0,5.0,155.0,0.5,0.0
43,10.0,-3393.0,1690.0,1285.0,4.0,104.0,0.5,0.0
