if x2 > 5.107 and x2 > 6.28 and x1 <= 12.44 and age <= 69.5 and x1 <= 5.124 and age <= 45.0 and x1 <= 5.059 then class: 0 | based on 534 samples | coverage 20.91% | error 0.0% | relevance 20.91

if x2 > 5.107 and x2 > 6.28 and x1 <= 12.44 and age <= 69.5 and x1 > 5.124 and age > 45.0 then class: 0 | based on 463 samples | coverage 18.13% | error 0.0% | relevance 18.13

if x2 > 5.107 and x2 > 6.28 and x1 <= 12.44 and age <= 69.5 and x1 > 5.124 and age <= 45.0 then class: 1 | based on 461 samples | coverage 18.85% | error 0.0% | relevance 18.85

if x2 > 5.107 and x2 > 6.28 and x1 <= 12.44 and age <= 69.5 and x1 <= 5.124 and age > 45.0 and x1 <= 4.721 then class: 1 | based on 430 samples | coverage 17.58% | error 0.0% | relevance 17.58

if x2 <= 5.107 and x2 <= 4.569 and x2 > -2.659 and x2 <= 4.521 and x1 <= 12.971 and x2 > -2.616 and x2 > -2.582 and x2 > -2.342 and x2 > -2.036 and x2 <= 4.506 and x2 <= 4.493 and x2 <= 3.805 and x2 <= 3.68 and x2 <= 3.609 and x2 <= 3.543 and x2 <= 3.543 and x2 > 0.159 and x2 > 0.695 and x1 > 0.649 and age <= 45.0 and x1 > 5.128 then class: 1 | based on 216 samples | coverage 8.83% | error 0.0% | relevance 8.83

if x2 <= 5.107 and x2 <= 4.569 and x2 > -2.659 and x2 <= 4.521 and x1 <= 12.971 and x2 > -2.616 and x2 > -2.582 and x2 > -2.342 and x2 > -2.036 and x2 <= 4.506 and x2 <= 4.493 and x2 <= 3.805 and x2 <= 3.68 and x2 <= 3.609 and x2 <= 3.543 and x2 <= 3.543 and x2 > 0.159 and x2 > 0.695 and x1 > 0.649 and age > 45.0 and x1 > 5.233 then class: 0 | based on 200 samples | coverage 7.83% | error 0.0% | relevance 7.83

if x2 <= 5.107 and x2 <= 4.569 and x2 > -2.659 and x2 <= 4.521 and x1 <= 12.971 and x2 > -2.616 and x2 > -2.582 and x2 > -2.342 and x2 > -2.036 and x2 <= 4.506 and x2 <= 4.493 and x2 <= 3.805 and x2 <= 3.68 and x2 <= 3.609 and x2 <= 3.543 and x2 <= 3.543 and x2 <= 0.159 and x2 <= 0.004 and x2 <= -0.012 and x1 <= 12.923 and x1 > 3.056 and age > 45.0 and x1 > 5.171 then class: 0 | based on 161 samples | coverage 6.3% | error 0.0% | relevance 6.3

if x2 <= 5.107 and x2 <= 4.569 and x2 > -2.659 and x2 <= 4.521 and x1 <= 12.971 and x2 > -2.616 and x2 > -2.582 and x2 > -2.342 and x2 > -2.036 and x2 <= 4.506 and x2 <= 4.493 and x2 <= 3.805 and x2 <= 3.68 and x2 <= 3.609 and x2 <= 3.543 and x2 <= 3.543 and x2 <= 0.159 and x2 <= 0.004 and x2 <= -0.012 and x1 <= 12.923 and x1 > 3.056 and age <= 45.0 and x1 > 5.133 then class: 1 | based on 153 samples | coverage 6.26% | error 0.0% | relevance 6.26

if x2 <= 5.107 and x2 <= 4.569 and x2 > -2.659 and x2 <= 4.521 and x1 <= 12.971 and x2 > -2.616 and x2 > -2.582 and x2 > -2.342 and x2 > -2.036 and x2 <= 4.506 and x2 <= 4.493 and x2 <= 3.805 and x2 <= 3.68 and x2 <= 3.609 and x2 <= 3.543 and x2 <= 3.543 and x2 > 0.159 and x2 > 0.695 and x1 > 0.649 and age > 45.0 and x1 <= 5.233 then class: 1 | based on 134 samples | coverage 5.48% | error 0.0% | relevance 5.48

if x2 <= 5.107 and x2 <= 4.569 and x2 > -2.659 and x2 <= 4.521 and x1 <= 12.971 and x2 > -2.616 and x2 > -2.582 and x2 > -2.342 and x2 > -2.036 and x2 <= 4.506 and x2 <= 4.493 and x2 <= 3.805 and x2 <= 3.68 and x2 <= 3.609 and x2 <= 3.543 and x2 <= 3.543 and x2 > 0.159 and x2 > 0.695 and x1 > 0.649 and age <= 45.0 and x1 <= 5.128 then class: 0 | based on 131 samples | coverage 5.13% | error 0.0% | relevance 5.13

if x2 <= 5.107 and x2 <= 4.569 and x2 > -2.659 and x2 <= 4.521 and x1 <= 12.971 and x2 > -2.616 and x2 > -2.582 and x2 > -2.342 and x2 > -2.036 and x2 <= 4.506 and x2 <= 4.493 and x2 <= 3.805 and x2 <= 3.68 and x2 <= 3.609 and x2 <= 3.543 and x2 <= 3.543 and x2 <= 0.159 and x2 <= 0.004 and x2 <= -0.012 and x1 <= 12.923 and x1 <= 3.056 and age > 45.0 then class: 1 | based on 124 samples | coverage 5.07% | error 0.0% | relevance 5.07

if x2 > 5.107 and x2 <= 6.28 and x1 > 3.345 and age > 45.0 and x1 > 4.738 then class: 0 | based on 122 samples | coverage 4.78% | error 0.0% | relevance 4.78

if x2 <= 5.107 and x2 <= 4.569 and x2 > -2.659 and x2 <= 4.521 and x1 <= 12.971 and x2 > -2.616 and x2 > -2.582 and x2 > -2.342 and x2 > -2.036 and x2 <= 4.506 and x2 <= 4.493 and x2 <= 3.805 and x2 <= 3.68 and x2 <= 3.609 and x2 <= 3.543 and x2 <= 3.543 and x2 > 0.159 and x2 > 0.695 and x1 <= 0.649 and age <= 45.0 then class: 0 | based on 110 samples | coverage 4.31% | error 0.0% | relevance 4.31

if x2 <= 5.107 and x2 <= 4.569 and x2 > -2.659 and x2 <= 4.521 and x1 <= 12.971 and x2 > -2.616 and x2 > -2.582 and x2 > -2.342 and x2 > -2.036 and x2 <= 4.506 and x2 <= 4.493 and x2 <= 3.805 and x2 <= 3.68 and x2 <= 3.609 and x2 <= 3.543 and x2 <= 3.543 and x2 <= 0.159 and x2 <= 0.004 and x2 <= -0.012 and x1 <= 12.923 and x1 <= 3.056 and age <= 45.0 then class: 0 | based on 100 samples | coverage 3.92% | error 0.0% | relevance 3.92

if x2 > 5.107 and x2 <= 6.28 and x1 <= 3.345 and age <= 45.0 then class: 0 | based on 83 samples | coverage 3.25% | error 0.0% | relevance 3.25

if x2 <= 5.107 and x2 <= 4.569 and x2 > -2.659 and x2 <= 4.521 and x1 <= 12.971 and x2 > -2.616 and x2 > -2.582 and x2 > -2.342 and x2 > -2.036 and x2 <= 4.506 and x2 <= 4.493 and x2 <= 3.805 and x2 <= 3.68 and x2 <= 3.609 and x2 <= 3.543 and x2 <= 3.543 and x2 > 0.159 and x2 > 0.695 and x1 <= 0.649 and age > 45.0 then class: 1 | based on 80 samples | coverage 3.27% | error 0.0% | relevance 3.27

if x2 > 5.107 and x2 <= 6.28 and x1 <= 3.345 and age > 45.0 then class: 1 | based on 75 samples | coverage 3.07% | error 0.0% | relevance 3.07

if x2 > 5.107 and x2 <= 6.28 and x1 > 3.345 and age <= 45.0 and x1 > 5.077 then class: 1 | based on 73 samples | coverage 2.98% | error 0.0% | relevance 2.98

if x2 <= 5.107 and x2 <= 4.569 and x2 > -2.659 and x2 <= 4.521 and x1 <= 12.971 and x2 > -2.616 and x2 > -2.582 and x2 > -2.342 and x2 > -2.036 and x2 <= 4.506 and x2 <= 4.493 and x2 > 3.805 and x1 <= 12.371 and x2 > 3.829 and x2 > 3.832 and age > 45.0 and x1 <= 4.914 then class: 1 | based on 59 samples | coverage 2.41% | error 0.0% | relevance 2.41

if x2 <= 5.107 and x2 > 4.569 and x1 <= 4.215 and age > 45.0 then class: 1 | based on 55 samples | coverage 2.25% | error 0.0% | relevance 2.25

if x2 > 5.107 and x2 > 6.28 and x1 <= 12.44 and age > 69.5 and x1 <= 4.606 then class: 1 | based on 54 samples | coverage 2.21% | error 0.0% | relevance 2.21

if x2 <= 5.107 and x2 <= 4.569 and x2 > -2.659 and x2 <= 4.521 and x1 <= 12.971 and x2 > -2.616 and x2 > -2.582 and x2 > -2.342 and x2 > -2.036 and x2 <= 4.506 and x2 <= 4.493 and x2 <= 3.805 and x2 <= 3.68 and x2 <= 3.609 and x2 <= 3.543 and x2 <= 3.543 and x2 <= 0.159 and x2 <= 0.004 and x2 <= -0.012 and x1 <= 12.923 and x1 > 3.056 and age <= 45.0 and x1 <= 5.133 then class: 0 | based on 51 samples | coverage 2.0% | error 0.0% | relevance 2.0

if x2 <= 5.107 and x2 <= 4.569 and x2 > -2.659 and x2 <= 4.521 and x1 <= 12.971 and x2 > -2.616 and x2 > -2.582 and x2 > -2.342 and x2 > -2.036 and x2 <= 4.506 and x2 <= 4.493 and x2 > 3.805 and x1 <= 12.371 and x2 > 3.829 and x2 > 3.832 and age <= 45.0 and x1 > 5.061 then class: 1 | based on 47 samples | coverage 1.92% | error 0.0% | relevance 1.92

if x2 <= 5.107 and x2 > 4.569 and x1 > 4.215 and age <= 45.0 and x1 > 5.038 then class: 1 | based on 46 samples | coverage 1.88% | error 0.0% | relevance 1.88

if x2 <= 5.107 and x2 <= 4.569 and x2 > -2.659 and x2 <= 4.521 and x1 <= 12.971 and x2 > -2.616 and x2 > -2.582 and x2 > -2.342 and x2 > -2.036 and x2 <= 4.506 and x2 <= 4.493 and x2 > 3.805 and x1 <= 12.371 and x2 > 3.829 and x2 > 3.832 and age <= 45.0 and x1 <= 5.061 then class: 0 | based on 45 samples | coverage 1.76% | error 0.0% | relevance 1.76

if x2 <= 5.107 and x2 <= 4.569 and x2 > -2.659 and x2 <= 4.521 and x1 <= 12.971 and x2 > -2.616 and x2 > -2.582 and x2 > -2.342 and x2 > -2.036 and x2 <= 4.506 and x2 <= 4.493 and x2 <= 3.805 and x2 <= 3.68 and x2 <= 3.609 and x2 <= 3.543 and x2 <= 3.543 and x2 <= 0.159 and x2 <= 0.004 and x2 <= -0.012 and x1 <= 12.923 and x1 > 3.056 and age > 45.0 and x1 <= 5.171 then class: 1 | based on 43 samples | coverage 1.76% | error 0.0% | relevance 1.76

if x2 > 5.107 and x2 > 6.28 and x1 > 12.44 and age <= 45.0 then class: 1 | based on 42 samples | coverage 1.72% | error 0.0% | relevance 1.72

if x2 > 5.107 and x2 > 6.28 and x1 <= 12.44 and age > 69.5 and x1 > 4.606 then class: 0 | based on 38 samples | coverage 1.49% | error 0.0% | relevance 1.49

if x2 <= 5.107 and x2 <= 4.569 and x2 > -2.659 and x2 <= 4.521 and x1 <= 12.971 and x2 > -2.616 and x2 > -2.582 and x2 > -2.342 and x2 > -2.036 and x2 <= 4.506 and x2 <= 4.493 and x2 > 3.805 and x1 <= 12.371 and x2 > 3.829 and x2 > 3.832 and age > 45.0 and x1 > 4.914 then class: 0 | based on 35 samples | coverage 1.37% | error 0.0% | relevance 1.37

if x2 <= 5.107 and x2 > 4.569 and x1 > 4.215 and age > 45.0 and x1 > 4.671 then class: 0 | based on 34 samples | coverage 1.33% | error 0.0% | relevance 1.33

if x2 > 5.107 and x2 <= 6.28 and x1 > 3.345 and age <= 45.0 and x1 <= 5.077 then class: 0 | based on 32 samples | coverage 1.25% | error 0.0% | relevance 1.25

if x2 <= 5.107 and x2 <= 4.569 and x2 > -2.659 and x2 <= 4.521 and x1 <= 12.971 and x2 > -2.616 and x2 > -2.582 and x2 > -2.342 and x2 <= -2.036 and age <= 62.5 and x1 > 5.103 and age <= 44.5 then class: 1 | based on 29 samples | coverage 1.19% | error 0.0% | relevance 1.19

if x2 <= 5.107 and x2 <= 4.569 and x2 > -2.659 and x2 <= 4.521 and x1 <= 12.971 and x2 > -2.616 and x2 > -2.582 and x2 > -2.342 and x2 <= -2.036 and age > 62.5 and x1 <= 5.748 then class: 1 | based on 29 samples | coverage 1.19% | error 0.0% | relevance 1.19

