if x2 <= 12.07 and x2 <= 8.946 and x2 <= 8.725 and x2 <= 8.699 and age > 24.5 and x1 <= 5.258 and age > 45.0 and x1 <= 5.152 then class: 1 | based on 911 samples | coverage 35.95% | error 0.0% | relevance 35.95

if x2 <= 12.07 and x2 <= 8.946 and x2 <= 8.725 and x2 <= 8.699 and age > 24.5 and x1 > 5.258 and age > 45.0 then class: 0 | based on 906 samples | coverage 36.74% | error 0.0% | relevance 36.74

if x2 <= 12.07 and x2 <= 8.946 and x2 <= 8.725 and x2 <= 8.699 and age > 24.5 and x1 <= 5.258 and age <= 45.0 and x1 <= 4.859 then class: 0 | based on 494 samples | coverage 20.03% | error 0.0% | relevance 20.03

if x2 <= 12.07 and x2 <= 8.946 and x2 <= 8.725 and x2 <= 8.699 and age > 24.5 and x1 > 5.258 and age <= 45.0 then class: 1 | based on 473 samples | coverage 18.67% | error 0.0% | relevance 18.67

if x2 <= 12.07 and x2 <= 8.946 and x2 <= 8.725 and x2 <= 8.699 and age <= 24.5 and x1 > 4.906 then class: 1 | based on 461 samples | coverage 18.19% | error 0.0% | relevance 18.19

if x2 <= 12.07 and x2 <= 8.946 and x2 <= 8.725 and x2 <= 8.699 and age <= 24.5 and x1 <= 4.906 then class: 0 | based on 391 samples | coverage 15.86% | error 0.0% | relevance 15.86

if x2 <= 12.07 and x2 > 8.946 and age <= 63.5 and x1 <= 4.749 and age <= 45.0 then class: 0 | based on 271 samples | coverage 10.99% | error 0.0% | relevance 10.99

if x2 <= 12.07 and x2 > 8.946 and age <= 63.5 and x1 > 4.749 and age <= 45.0 and x1 > 4.881 then class: 1 | based on 207 samples | coverage 8.17% | error 0.0% | relevance 8.17

if x2 <= 12.07 and x2 > 8.946 and age > 63.5 and x1 <= 5.177 then class: 1 | based on 170 samples | coverage 6.71% | error 0.0% | relevance 6.71

if x2 <= 12.07 and x2 > 8.946 and age > 63.5 and x1 > 5.177 then class: 0 | based on 154 samples | coverage 6.24% | error 0.0% | relevance 6.24

if x2 > 12.07 and x1 <= 12.23 and x1 <= 6.298 and age > 45.0 and x1 <= 5.146 then class: 1 | based on 91 samples | coverage 3.59% | error 0.0% | relevance 3.59

if x2 <= 12.07 and x2 > 8.946 and age <= 63.5 and x1 > 4.749 and age > 45.0 and x1 > 5.145 then class: 0 | based on 88 samples | coverage 3.57% | error 0.0% | relevance 3.57

if x2 <= 12.07 and x2 > 8.946 and age <= 63.5 and x1 <= 4.749 and age > 45.0 then class: 1 | based on 67 samples | coverage 2.64% | error 0.0% | relevance 2.64

if x2 > 12.07 and x1 <= 12.23 and x1 <= 6.298 and age <= 45.0 and x1 <= 4.661 then class: 0 | based on 56 samples | coverage 2.27% | error 0.0% | relevance 2.27

if x2 > 12.07 and x1 <= 12.23 and x1 > 6.298 and age > 45.0 then class: 0 | based on 55 samples | coverage 2.23% | error 0.0% | relevance 2.23

if x2 > 12.07 and x1 <= 12.23 and x1 > 6.298 and age <= 45.0 then class: 1 | based on 43 samples | coverage 1.7% | error 0.0% | relevance 1.7

