if x2 <= 12.957 and x1 > -2.805 and x2 <= 12.945 and x1 > -2.745 and x1 > -2.734 and x1 > -2.709 and x2 > -0.508 and x2 <= 9.665 and x2 <= 7.828 and x2 > 1.11 and x2 > 1.384 and x2 > 2.552 and x2 > 2.606 and x1 <= 11.744 and age <= 62.5 and x1 <= 4.929 and age <= 45.0 then class: 0 | based on 386 samples | coverage 15.28% | error 0.0% | relevance 15.28

if x2 <= 12.957 and x1 > -2.805 and x2 <= 12.945 and x1 > -2.745 and x1 > -2.734 and x1 > -2.709 and x2 > -0.508 and x2 <= 9.665 and x2 <= 7.828 and x2 > 1.11 and x2 > 1.384 and x2 > 2.552 and x2 > 2.606 and x1 <= 11.744 and age <= 62.5 and x1 > 4.929 and age <= 45.0 then class: 1 | based on 345 samples | coverage 13.95% | error 0.0% | relevance 13.95

if x2 <= 12.957 and x1 > -2.805 and x2 <= 12.945 and x1 > -2.745 and x1 > -2.734 and x1 > -2.709 and x2 > -0.508 and x2 <= 9.665 and x2 <= 7.828 and x2 > 1.11 and x2 > 1.384 and x2 > 2.552 and x2 > 2.606 and x1 <= 11.744 and age > 62.5 and x1 <= 4.843 then class: 1 | based on 304 samples | coverage 12.29% | error 0.0% | relevance 12.29

if x2 <= 12.957 and x1 > -2.805 and x2 <= 12.945 and x1 > -2.745 and x1 > -2.734 and x1 > -2.709 and x2 > -0.508 and x2 <= 9.665 and x2 <= 7.828 and x2 > 1.11 and x2 > 1.384 and x2 > 2.552 and x2 > 2.606 and x1 <= 11.744 and age > 62.5 and x1 > 4.843 and x1 > 4.93 then class: 0 | based on 227 samples | coverage 8.98% | error 0.0% | relevance 8.98

if x2 <= 12.957 and x1 > -2.805 and x2 <= 12.945 and x1 > -2.745 and x1 > -2.734 and x1 > -2.709 and x2 <= -0.508 and age <= 69.5 and x1 > 1.207 and age <= 45.0 and x1 > 4.976 then class: 1 | based on 204 samples | coverage 8.25% | error 0.0% | relevance 8.25

if x2 <= 12.957 and x1 > -2.805 and x2 <= 12.945 and x1 > -2.745 and x1 > -2.734 and x1 > -2.709 and x2 > -0.508 and x2 > 9.665 and x2 > 9.712 and x2 <= 11.7 and x1 > -2.597 and x1 > 3.676 and age <= 45.0 and x1 > 4.917 then class: 1 | based on 172 samples | coverage 6.96% | error 0.0% | relevance 6.96
