if x2 > -2.813 and x2 > -0.517 and x2 > -0.494 and x2 <= 9.73 and x1 > -2.972 and x2 <= 9.55 and x2 <= 9.534 and x2 > 1.256 and x1 <= 10.024 and age > 45.0 and x1 <= 5.055 then class: 1 | based on 662 samples | coverage 26.3% | error 0.0% | relevance 26.3

if x2 > -2.813 and x2 > -0.517 and x2 > -0.494 and x2 <= 9.73 and x1 > -2.972 and x2 <= 9.55 and x2 <= 9.534 and x2 > 1.256 and x1 <= 10.024 and age <= 45.0 and x1 <= 5.015 then class: 0 | based on 632 samples | coverage 25.45% | error 0.0% | relevance 25.45

if x2 > -2.813 and x2 > -0.517 and x2 > -0.494 and x2 <= 9.73 and x1 > -2.972 and x2 <= 9.55 and x2 <= 9.534 and x2 > 1.256 and x1 <= 10.024 and age <= 45.0 and x1 > 5.015 then class: 1 | based on 418 samples | coverage 16.61% | error 0.0% | relevance 16.61

if x2 > -2.813 and x2 > -0.517 and x2 > -0.494 and x2 <= 9.73 and x1 > -2.972 and x2 <= 9.55 and x2 <= 9.534 and x2 > 1.256 and x1 <= 10.024 and age > 45.0 and x1 > 5.055 and x1 > 5.369 then class: 0 | based on 346 samples | coverage 13.93% | error 0.0% | relevance 13.93

if x2 > -2.813 and x2 > -0.517 and x2 > -0.494 and x2 > 9.73 and x2 > 9.779 and x1 > -0.637 and age > 45.0 and x1 > 5.042 then class: 0 | based on 263 samples | coverage 10.59% | error 0.0% | relevance 10.59

if x2 > -2.813 and x2 > -0.517 and x2 > -0.494 and x2 <= 9.73 and x1 > -2.972 and x2 <= 9.55 and x2 <= 9.534 and x2 > 1.256 and x1 > 10.024 and age > 45.0 then class: 0 | based on 262 samples | coverage 10.55% | error 0.0% | relevance 10.55

if x2 > -2.813 and x2 > -0.517 and x2 > -0.494 and x2 <= 9.73 and x1 > -2.972 and x2 <= 9.55 and x2 <= 9.534 and x2 > 1.256 and x1 > 10.024 and age <= 45.0 then class: 1 | based on 235 samples | coverage 9.34% | error 0.0% | relevance 9.34

if x2 > -2.813 and x2 > -0.517 and x2 > -0.494 and x2 > 9.73 and x2 > 9.779 and x1 > -0.637 and age <= 45.0 and x1 > 5.03 then class: 1 | based on 232 samples | coverage 9.22% | error 0.0% | relevance 9.22

if x2 > -2.813 and x2 > -0.517 and x2 > -0.494 and x2 > 9.73 and x2 > 9.779 and x1 > -0.637 and age <= 45.0 and x1 <= 5.03 then class: 0 | based on 188 samples | coverage 7.57% | error 0.0% | relevance 7.57

