if x2 <= 12.978 and x1 <= 12.857 and x2 <= 12.045 and x2 <= 6.299 and x1 > -2.914 and age <= 67.5 and x1 <= 4.97 and age <= 45.0 then class: 0 | based on 740 samples | coverage 29.67% | error 0.0% | relevance 29.67

if x2 <= 12.978 and x1 <= 12.857 and x2 <= 12.045 and x2 <= 6.299 and x1 > -2.914 and age <= 67.5 and x1 > 4.97 and age <= 45.0 then class: 1 | based on 716 samples | coverage 28.57% | error 0.0% | relevance 28.57

if x2 <= 12.978 and x1 <= 12.857 and x2 <= 12.045 and x2 <= 6.299 and x1 > -2.914 and age <= 67.5 and x1 <= 4.97 and age > 45.0 then class: 1 | based on 526 samples | coverage 20.99% | error 0.0% | relevance 20.99

if x2 <= 12.978 and x1 <= 12.857 and x2 <= 12.045 and x2 <= 6.299 and x1 > -2.914 and age <= 67.5 and x1 > 4.97 and age > 45.0 and x1 > 5.113 then class: 0 | based on 516 samples | coverage 20.69% | error 0.0% | relevance 20.69

if x2 <= 12.978 and x1 <= 12.857 and x2 <= 12.045 and x2 > 6.299 and x2 > 6.338 and x2 <= 12.031 and x2 <= 9.361 and x1 > 4.486 and age <= 45.0 and x1 > 4.965 then class: 1 | based on 262 samples | coverage 10.45% | error 0.0% | relevance 10.45

if x2 <= 12.978 and x1 <= 12.857 and x2 <= 12.045 and x2 <= 6.299 and x1 > -2.914 and age > 67.5 and x1 > 5.174 then class: 0 | based on 227 samples | coverage 9.1% | error 0.0% | relevance 9.1

if x2 <= 12.978 and x1 <= 12.857 and x2 <= 12.045 and x2 > 6.299 and x2 > 6.338 and x2 <= 12.031 and x2 <= 9.361 and x1 <= 4.486 and age > 45.0 then class: 1 | based on 215 samples | coverage 8.58% | error 0.0% | relevance 8.58

if x2 <= 12.978 and x1 <= 12.857 and x2 <= 12.045 and x2 > 6.299 and x2 > 6.338 and x2 <= 12.031 and x2 > 9.361 and age <= 69.5 and x1 > -0.635 and age <= 45.0 and x1 > 4.958 then class: 1 | based on 209 samples | coverage 8.34% | error 0.0% | relevance 8.34

if x2 <= 12.978 and x1 <= 12.857 and x2 <= 12.045 and x2 > 6.299 and x2 > 6.338 and x2 <= 12.031 and x2 <= 9.361 and x1 <= 4.486 and age <= 45.0 then class: 0 | based on 198 samples | coverage 7.94% | error 0.0% | relevance 7.94

if x2 <= 12.978 and x1 <= 12.857 and x2 <= 12.045 and x2 > 6.299 and x2 > 6.338 and x2 <= 12.031 and x2 <= 9.361 and x1 > 4.486 and age > 45.0 and x1 > 5.159 then class: 0 | based on 193 samples | coverage 7.74% | error 0.0% | relevance 7.74

if x2 <= 12.978 and x1 <= 12.857 and x2 <= 12.045 and x2 > 6.299 and x2 > 6.338 and x2 <= 12.031 and x2 > 9.361 and age <= 69.5 and x1 > -0.635 and age > 45.0 and x1 > 5.096 then class: 0 | based on 184 samples | coverage 7.38% | error 0.0% | relevance 7.38

if x2 <= 12.978 and x1 <= 12.857 and x2 <= 12.045 and x2 <= 6.299 and x1 > -2.914 and age > 67.5 and x1 <= 5.174 then class: 1 | based on 176 samples | coverage 7.02% | error 0.0% | relevance 7.02

