if x2 <= 12.915 and x2 <= 12.305 and x2 <= 11.905 and x2 <= 11.607 and x2 <= 11.553 and x2 > -2.684 and x1 <= 11.17 and age <= 45.0 and x1 <= 5.188 and x1 <= 4.988 then class: 0 | based on 1,146 samples | coverage 45.05% | error 0.0% | relevance 45.05

if x2 <= 12.915 and x2 <= 12.305 and x2 <= 11.905 and x2 <= 11.607 and x2 <= 11.553 and x2 > -2.684 and x1 <= 11.17 and age > 45.0 and x1 <= 5.046 then class: 1 | based on 1,137 samples | coverage 46.29% | error 0.0% | relevance 46.29

if x2 <= 12.915 and x2 <= 12.305 and x2 <= 11.905 and x2 <= 11.607 and x2 <= 11.553 and x2 > -2.684 and x1 <= 11.17 and age > 45.0 and x1 > 5.046 then class: 0 | based on 882 samples | coverage 34.67% | error 0.0% | relevance 34.67

if x2 <= 12.915 and x2 <= 12.305 and x2 <= 11.905 and x2 <= 11.607 and x2 <= 11.553 and x2 > -2.684 and x1 <= 11.17 and age <= 45.0 and x1 > 5.188 then class: 1 | based on 788 samples | coverage 32.08% | error 0.0% | relevance 32.08

if x2 <= 12.915 and x2 <= 12.305 and x2 <= 11.905 and x2 <= 11.607 and x2 <= 11.553 and x2 > -2.684 and x1 > 11.17 and age <= 45.0 then class: 1 | based on 280 samples | coverage 11.4% | error 0.0% | relevance 11.4

if x2 <= 12.915 and x2 <= 12.305 and x2 <= 11.905 and x2 <= 11.607 and x2 <= 11.553 and x2 > -2.684 and x1 > 11.17 and age > 45.0 then class: 0 | based on 239 samples | coverage 9.39% | error 0.0% | relevance 9.39

if x2 <= 12.915 and x2 > 12.305 and x2 > 12.429 and x2 > 12.44 and x2 > 12.469 and x1 <= 11.751 and age > 45.0 and x1 <= 5.197 then class: 1 | based on 48 samples | coverage 1.95% | error 0.0% | relevance 1.95

if x2 <= 12.915 and x2 <= 12.305 and x2 > 11.905 and age <= 67.5 and x1 <= 5.778 and age <= 45.0 and x1 <= 4.986 then class: 0 | based on 43 samples | coverage 1.69% | error 0.0% | relevance 1.69

