if x1 > -2.982 and x2 > -2.985 and x2 > -2.948 and x2 <= 12.989 and x2 <= 12.534 and x2 <= 10.965 and x1 <= 12.544 and x2 > 1.984 and x2 > 3.415 and x2 > 3.455 and x1 > -2.884 and x2 > 4.76 and x1 <= 12.503 and age <= 64.5 and x1 <= 4.884 and age <= 45.0 then class: 0 | based on 470 samples | coverage 19.1% | error 0.0% | relevance 19.1

if x1 > -2.982 and x2 > -2.985 and x2 > -2.948 and x2 <= 12.989 and x2 <= 12.534 and x2 <= 10.965 and x1 <= 12.544 and x2 > 1.984 and x2 > 3.415 and x2 > 3.455 and x1 > -2.884 and x2 > 4.76 and x1 <= 12.503 and age <= 64.5 and x1 > 4.884 and age <= 45.0 then class: 1 | based on 439 samples | coverage 17.29% | error 0.0% | relevance 17.29

if x1 > -2.982 and x2 > -2.985 and x2 > -2.948 and x2 <= 12.989 and x2 <= 12.534 and x2 <= 10.965 and x1 <= 12.544 and x2 > 1.984 and x2 > 3.415 and x2 > 3.455 and x1 > -2.884 and x2 > 4.76 and x1 <= 12.503 and age > 64.5 and x1 <= 5.047 then class: 1 | based on 263 samples | coverage 10.36% | error 0.0% | relevance 10.36

if x1 > -2.982 and x2 > -2.985 and x2 > -2.948 and x2 <= 12.989 and x2 <= 12.534 and x2 <= 10.965 and x1 <= 12.544 and x2 > 1.984 and x2 > 3.415 and x2 > 3.455 and x1 > -2.884 and x2 > 4.76 and x1 <= 12.503 and age <= 64.5 and x1 > 4.884 and age > 45.0 and x1 > 5.085 then class: 0 | based on 243 samples | coverage 9.87% | error 0.0% | relevance 9.87

if x1 > -2.982 and x2 > -2.985 and x2 > -2.948 and x2 <= 12.989 and x2 <= 12.534 and x2 <= 10.965 and x1 <= 12.544 and x2 > 1.984 and x2 > 3.415 and x2 > 3.455 and x1 > -2.884 and x2 > 4.76 and x1 <= 12.503 and age > 64.5 and x1 > 5.047 then class: 0 | based on 231 samples | coverage 9.39% | error 0.0% | relevance 9.39

if x1 > -2.982 and x2 > -2.985 and x2 > -2.948 and x2 <= 12.989 and x2 <= 12.534 and x2 <= 10.965 and x1 <= 12.544 and x2 > 1.984 and x2 > 3.415 and x2 > 3.455 and x1 > -2.884 and x2 > 4.76 and x1 <= 12.503 and age <= 64.5 and x1 <= 4.884 and age > 45.0 then class: 1 | based on 207 samples | coverage 8.15% | error 0.0% | relevance 8.15

if x1 > -2.982 and x2 > -2.985 and x2 > -2.948 and x2 <= 12.989 and x2 <= 12.534 and x2 <= 10.965 and x1 <= 12.544 and x2 <= 1.984 and x2 <= 1.845 and x2 <= 1.808 and x1 > -2.87 and x2 <= 1.625 and x2 <= 1.61 and x2 <= 1.6 and x2 <= -0.498 and x2 <= -0.646 and x1 <= 5.925 and age > 45.0 and x1 <= 5.064 then class: 1 | based on 181 samples | coverage 7.13% | error 0.0% | relevance 7.13

if x1 > -2.982 and x2 > -2.985 and x2 > -2.948 and x2 <= 12.989 and x2 <= 12.534 and x2 <= 10.965 and x1 <= 12.544 and x2 <= 1.984 and x2 <= 1.845 and x2 <= 1.808 and x1 > -2.87 and x2 <= 1.625 and x2 <= 1.61 and x2 <= 1.6 and x2 <= -0.498 and x2 <= -0.646 and x1 > 5.925 and age <= 45.0 then class: 1 | based on 178 samples | coverage 7.01% | error 0.0% | relevance 7.01

if x1 > -2.982 and x2 > -2.985 and x2 > -2.948 and x2 <= 12.989 and x2 <= 12.534 and x2 <= 10.965 and x1 <= 12.544 and x2 <= 1.984 and x2 <= 1.845 and x2 <= 1.808 and x1 > -2.87 and x2 <= 1.625 and x2 <= 1.61 and x2 <= 1.6 and x2 <= -0.498 and x2 <= -0.646 and x1 <= 5.925 and age <= 45.0 and x1 <= 4.898 then class: 0 | based on 177 samples | coverage 7.19% | error 0.0% | relevance 7.19

if x1 > -2.982 and x2 > -2.985 and x2 > -2.948 and x2 <= 12.989 and x2 <= 12.534 and x2 <= 10.965 and x1 <= 12.544 and x2 <= 1.984 and x2 <= 1.845 and x2 <= 1.808 and x1 > -2.87 and x2 <= 1.625 and x2 <= 1.61 and x2 <= 1.6 and x2 > -0.498 and x1 <= 10.805 and age <= 62.5 and x1 <= 4.774 and age <= 45.0 then class: 0 | based on 166 samples | coverage 6.75% | error 0.0% | relevance 6.75

if x1 > -2.982 and x2 > -2.985 and x2 > -2.948 and x2 <= 12.989 and x2 <= 12.534 and x2 <= 10.965 and x1 <= 12.544 and x2 <= 1.984 and x2 <= 1.845 and x2 <= 1.808 and x1 > -2.87 and x2 <= 1.625 and x2 <= 1.61 and x2 <= 1.6 and x2 <= -0.498 and x2 <= -0.646 and x1 > 5.925 and age > 45.0 then class: 0 | based on 141 samples | coverage 5.73% | error 0.0% | relevance 5.73

if x1 > -2.982 and x2 > -2.985 and x2 > -2.948 and x2 <= 12.989 and x2 <= 12.534 and x2 <= 10.965 and x1 <= 12.544 and x2 <= 1.984 and x2 <= 1.845 and x2 <= 1.808 and x1 > -2.87 and x2 <= 1.625 and x2 <= 1.61 and x2 <= 1.6 and x2 > -0.498 and x1 <= 10.805 and age > 62.5 and x1 <= 5.051 then class: 1 | based on 129 samples | coverage 5.08% | error 0.0% | relevance 5.08

