if x2 > -2.236 and x2 > -2.178 and x1 > -1.595 and age > 29.5 and x1 > 4.932 and age > 45.0 then class: 0 | based on 1,175 samples | coverage 47.84% | error 0.0% | relevance 47.84

if x2 > -2.236 and x2 > -2.178 and x1 > -1.595 and age <= 29.5 and x1 > 4.765 and x1 > 4.798 then class: 1 | based on 1,119 samples | coverage 43.99% | error 0.0% | relevance 43.99

if x2 > -2.236 and x2 > -2.178 and x1 > -1.595 and age > 29.5 and x1 <= 4.932 and age > 45.0 then class: 1 | based on 1,009 samples | coverage 39.66% | error 0.0% | relevance 39.66

if x2 > -2.236 and x2 > -2.178 and x1 > -1.595 and age <= 29.5 and x1 <= 4.765 then class: 0 | based on 858 samples | coverage 34.93% | error 0.0% | relevance 34.93

if x2 > -2.236 and x2 > -2.178 and x1 <= -1.595 and age <= 45.0 then class: 0 | based on 205 samples | coverage 8.35% | error 0.0% | relevance 8.35

if x2 > -2.236 and x2 > -2.178 and x1 <= -1.595 and age > 45.0 then class: 1 | based on 172 samples | coverage 6.76% | error 0.0% | relevance 6.76

if x2 > -2.236 and x2 > -2.178 and x1 > -1.595 and age > 29.5 and x1 <= 4.932 and age <= 45.0 and x1 <= 4.756 then class: 0 | based on 94 samples | coverage 3.83% | error 0.0% | relevance 3.83

if x2 > -2.236 and x2 > -2.178 and x1 > -1.595 and age > 29.5 and x1 > 4.932 and age <= 45.0 then class: 1 | based on 84 samples | coverage 3.3% | error 0.0% | relevance 3.3

if x2 <= -2.236 and x2 <= -2.398 and x2 > -2.97 and x2 > -2.963 and age <= 66.5 and x1 > 4.303 and age <= 60.5 and age <= 45.0 then class: 1 | based on 43 samples | coverage 1.69% | error 0.0% | relevance 1.69

if x2 <= -2.236 and x2 <= -2.398 and x2 > -2.97 and x2 > -2.963 and age <= 66.5 and x1 <= 4.303 and age <= 45.0 then class: 0 | based on 40 samples | coverage 1.63% | error 0.0% | relevance 1.63

